COURSE CODE,TITLE,SLOT
STS3006,Basic Competitive Coding - I,C1+TC1
STS3006,Basic Competitive Coding - I,C2+TC2
STS3006,Basic Competitive Coding - I,D1+TD1
STS3006,Basic Competitive Coding - I,D2+TD2
STS3006,Basic Competitive Coding - I,F1+TF1
STS3006,Basic Competitive Coding - I,F2+TF2
CHY1001,Environmental Studies,G2
CHY1005,Industrial Chemistry for Engineers,F1+TFF1
CHY1006,Corrosion Science and Engineering,E1+TEE1
CHY1007,Energy Materials and Their Applications,D1+TD1
CHY2001,Chemical and Biosensors,D2+TD2
CHY2002,Organic Electronics,E1+TE1
MAT1011,Applied Statistics,B2+TB2
MAT1011,Applied Statistics,A1+TA1
MAT1011,Applied Statistics,C1+TC1
MAT1011,Applied Statistics,C1+TC1
MAT1011,Applied Statistics,C2+TC2
MAT1011,Applied Statistics,B2+TB2
MAT1011,Applied Statistics,C1+TC1
MAT1011,Applied Statistics,C1+TC1
MAT1011,Applied Statistics,C2+TC2
MAT1011,Applied Statistics,C1+TC1
MAT1011,Applied Statistics,C1+TC1
MAT1011,Applied Statistics,A1+TA1
MAT1011,Applied Statistics,A2+TA2
MAT1011,Applied Statistics,B2+TB2
MAT1011,Applied Statistics,C2+TC2
MAT1011,Applied Statistics,B1+TB1
MAT1011,Applied Statistics,C1+TC1
MAT1011,Applied Statistics,C2+TC2
MAT1011,Applied Statistics,A2+TA2
MAT1011,Applied Statistics,B2+TB2
MAT1011,Applied Statistics,B1+TB1
MAT1011,Applied Statistics,A2+TA2
MAT1011,Applied Statistics,B2+TB2
MAT1011,Applied Statistics,A2+TA2
MAT1011,Applied Statistics,B1+TB1
MAT1011,Applied Statistics,B2+TB2
MAT1011,Applied Statistics,C2+TC2
MAT1011,Applied Statistics,A2+TA2
MAT1011,Applied Statistics,C1+TC1
MAT1011,Applied Statistics,C1+TC1
MAT1011,Applied Statistics,A1+TA1
MAT1011,Applied Statistics,C2+TC2
MAT1011,Applied Statistics,C2+TC2
MAT1011,Applied Statistics,A1+TA1
MAT1011,Applied Statistics,B1+TB1
MAT1011,Applied Statistics,A1+TA1
MAT1011,Applied Statistics,B1+TB1
MAT1011,Applied Statistics,A2+TA2
MAT1011,Applied Statistics,C2+TC2
MAT1011,Applied Statistics,A1+TA1
MAT2001,Numerical Methods for Engineers,F2
MAT2001,Numerical Methods for Engineers,G1
MAT2002,Complex Variables and Partial Differential Equations,D2+TD2
MAT2002,Complex Variables and Partial Differential Equations,D1+TD1
MAT2003,Optimization Techniques,G1+TG1
MAT2003,Optimization Techniques,E2+TE2
MAT2005,Linear Algebra,G2+TG2
MAT2005,Linear Algebra,D1+TD1
MAT2005,Linear Algebra,D2+TD2
MAT2011,Graph Theory and Applications,D1+TD1
MAT2011,Graph Theory and Applications,D2+TD2
MAT2013,Financial Mathematics,D1+TD1+TDD1
PHY2004,Optoelectronics,D1+TD1
PHY2005,Introduction to Nanotechnology,F1+TF1
PHY2005,Introduction to Nanotechnology,D2+TD2
PHY2006,Solar Photovoltaics : Fundamentals and Technologies,F2+TF2
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,B1+TB1
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,B2+TB2
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,B1+TB1
CSE1005,Software Engineering,B1+TB1
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,B2+TB2
CSE1005,Software Engineering,B2+TB2
CSE1005,Software Engineering,A1+TA1
CSE1005,Software Engineering,B1+TB1
CSE1005,Software Engineering,B1+TB1
CSE1005,Software Engineering,A2+TA2
CSE1005,Software Engineering,B2+TB2
CSE1005,Software Engineering,B2+TB2
CSE1005,Software Engineering,B1+TB1
CSE1005,Software Engineering,B2+TB2
CSE1006,Foundations for Data Analytics,D1
CSE1006,Foundations for Data Analytics,E1
CSE1006,Foundations for Data Analytics,F1
CSE1006,Foundations for Data Analytics,D2
CSE1006,Foundations for Data Analytics,E2
CSE1006,Foundations for Data Analytics,F2
CSE1006,Foundations for Data Analytics,G1
CSE1006,Foundations for Data Analytics,G2
CSE1006,Foundations for Data Analytics,F1
CSE1006,Foundations for Data Analytics,F2
CSE1007,Introduction to Cryptography,D1+TD1
CSE1007,Introduction to Cryptography,D2+TD2
CSE2003,Requirements Engineering Management,D1+TD1
CSE2003,Requirements Engineering Management,D2+TD2
CSE2007,Database Management Systems,A1+TA1
CSE2007,Database Management Systems,B1+TB1
CSE2007,Database Management Systems,C1+TC1
CSE2007,Database Management Systems,A2+TA2
CSE2007,Database Management Systems,B2+TB2
CSE2007,Database Management Systems,C2+TC2
CSE2007,Database Management Systems,A1+TA1
CSE2007,Database Management Systems,B1+TB1
CSE2007,Database Management Systems,C1+TC1
CSE2007,Database Management Systems,A2+TA2
CSE2007,Database Management Systems,C2+TC2
CSE2007,Database Management Systems,A1+TA1
CSE2007,Database Management Systems,B1+TB1
CSE2007,Database Management Systems,C1+TC1
CSE2007,Database Management Systems,A2+TA2
CSE2007,Database Management Systems,B2+TB2
CSE2007,Database Management Systems,C2+TC2
CSE2007,Database Management Systems,A1+TA1
CSE2007,Database Management Systems,B1+TB1
CSE2007,Database Management Systems,C1+TC1
CSE2007,Database Management Systems,A2+TA2
CSE2007,Database Management Systems,B2+TB2
CSE2007,Database Management Systems,C2+TC2
CSE2007,Database Management Systems,A1+TA1
CSE2007,Database Management Systems,B1+TB1
CSE2007,Database Management Systems,C1+TC1
CSE2007,Database Management Systems,A2+TA2
CSE2007,Database Management Systems,B2+TB2
CSE2007,Database Management Systems,C2+TC2
CSE2007,Database Management Systems,A1+TA1
CSE2007,Database Management Systems,B1+TB1
CSE2007,Database Management Systems,C1+TC1
CSE2007,Database Management Systems,A2+TA2
CSE2007,Database Management Systems,B2+TB2
CSE2007,Database Management Systems,C2+TC2
CSE2007,Database Management Systems,C1+TC1
CSE2007,Database Management Systems,C2+TC2
CSE2007,Database Management Systems,B2+TB2
CSE2011,Cyber Security and Digital Forensics,C1+TC1
CSE2011,Cyber Security and Digital Forensics,C2+TC2
CSE2012,Knowledge Representation and Reasoning,F1+TFF1
CSE2012,Knowledge Representation and Reasoning,F2+TF2
CSE2012,Knowledge Representation and Reasoning,C1+TC1
CSE3002,Artificial Intelligence,E2+TEE2
CSE3002,Artificial Intelligence,F2+TFF2
CSE3002,Artificial Intelligence,D1+TD1
CSE3002,Artificial Intelligence,D2+TD2
CSE3002,Artificial Intelligence,E1+TEE1
CSE3002,Artificial Intelligence,F1+TFF1
CSE3002,Artificial Intelligence,G1+TG1
CSE3002,Artificial Intelligence,G2+TG2
CSE3002,Artificial Intelligence,D1+TD1
CSE3002,Artificial Intelligence,D2+TD2
CSE3002,Artificial Intelligence,E1+TE1
CSE3002,Artificial Intelligence,E2+TE2
CSE3002,Artificial Intelligence,F1+TF1
CSE3002,Artificial Intelligence,F2+TF2
CSE3002,Artificial Intelligence,G1+TG1
CSE3002,Artificial Intelligence,G2+TG2
CSE3002,Artificial Intelligence,D1+TD1
CSE3002,Artificial Intelligence,D2+TD2
CSE3002,Artificial Intelligence,E1+TE1
CSE3002,Artificial Intelligence,E2+TE2
CSE3002,Artificial Intelligence,F1+TF1
CSE3002,Artificial Intelligence,F2+TF2
CSE3002,Artificial Intelligence,G1+TG1
CSE3002,Artificial Intelligence,G2+TG2
CSE3002,Artificial Intelligence,A1+TA1
CSE3002,Artificial Intelligence,A2+TA2
CSE3002,Artificial Intelligence,C1+TC1
CSE3002,Artificial Intelligence,C2+TC2
CSE3003,Computer Networks,A1+TA1
CSE3003,Computer Networks,B1+TB1
CSE3003,Computer Networks,C1+TC1
CSE3003,Computer Networks,A2+TA2
CSE3003,Computer Networks,B2+TB2
CSE3003,Computer Networks,C2+TC2
CSE3003,Computer Networks,A1+TA1
CSE3003,Computer Networks,B1+TB1
CSE3003,Computer Networks,C1+TC1
CSE3003,Computer Networks,A2+TA2
CSE3003,Computer Networks,B2+TB2
CSE3003,Computer Networks,C2+TC2
CSE3003,Computer Networks,A1+TA1
CSE3003,Computer Networks,B1+TB1
CSE3003,Computer Networks,C1+TC1
CSE3003,Computer Networks,A2+TA2
CSE3003,Computer Networks,B2+TB2
CSE3003,Computer Networks,C2+TC2
CSE3003,Computer Networks,A1+TA1
CSE3003,Computer Networks,C1+TC1
CSE3003,Computer Networks,A2+TA2
CSE3003,Computer Networks,B2+TB2
CSE3003,Computer Networks,C2+TC2
CSE3003,Computer Networks,A1+TA1
CSE3003,Computer Networks,B1+TB1
CSE3003,Computer Networks,C1+TC1
CSE3003,Computer Networks,A2+TA2
CSE3003,Computer Networks,B2+TB2
CSE3003,Computer Networks,C2+TC2
CSE3003,Computer Networks,A1+TA1
CSE3003,Computer Networks,C1+TC1
CSE3003,Computer Networks,A2+TA2
CSE3003,Computer Networks,B2+TB2
CSE3003,Computer Networks,C2+TC2
CSE3003,Computer Networks,A2+TA2
CSE3003,Computer Networks,B1+TB1
CSE3003,Computer Networks,B1+TB1
CSE3003,Computer Networks,B1+TB1
CSE3004,Design and Analysis of Algorithms,B1+TB1
CSE3004,Design and Analysis of Algorithms,A1+TA1
CSE3004,Design and Analysis of Algorithms,A2+TA2
CSE3004,Design and Analysis of Algorithms,B2+TB2
CSE3004,Design and Analysis of Algorithms,A2+TA2
CSE3004,Design and Analysis of Algorithms,A1+TA1
CSE3004,Design and Analysis of Algorithms,B1+TB1
CSE3004,Design and Analysis of Algorithms,A1+TA1
CSE3004,Design and Analysis of Algorithms,A2+TA2
CSE3004,Design and Analysis of Algorithms,B2+TB2
CSE3004,Design and Analysis of Algorithms,A2+TA2
CSE3004,Design and Analysis of Algorithms,A1+TA1
CSE3004,Design and Analysis of Algorithms,B1+TB1
CSE3004,Design and Analysis of Algorithms,A1+TA1
CSE3004,Design and Analysis of Algorithms,B2+TB2
CSE3004,Design and Analysis of Algorithms,A1+TA1
CSE3004,Design and Analysis of Algorithms,B1+TB1
CSE3004,Design and Analysis of Algorithms,A1+TA1
CSE3004,Design and Analysis of Algorithms,B2+TB2
CSE3004,Design and Analysis of Algorithms,A2+TA2
CSE3004,Design and Analysis of Algorithms,B1+TB1
CSE3004,Design and Analysis of Algorithms,A1+TA1
CSE3004,Design and Analysis of Algorithms,A2+TA2
CSE3004,Design and Analysis of Algorithms,B2+TB2
CSE3004,Design and Analysis of Algorithms,A2+TA2
CSE3004,Design and Analysis of Algorithms,B1+TB1
CSE3004,Design and Analysis of Algorithms,B2+TB2
CSE3004,Design and Analysis of Algorithms,A2+TA2
CSE3004,Design and Analysis of Algorithms,B1+TB1
CSE3004,Design and Analysis of Algorithms,B1+TB1
CSE3004,Design and Analysis of Algorithms,B2+TB2
CSE3004,Design and Analysis of Algorithms,B2+TB2
CSE3008,Introduction to Machine Learning,E2+TE2
CSE3008,Introduction to Machine Learning,D1+TD1
CSE3009,No SQL Databases,G2+TG2
CSE3009,No SQL Databases,D1+TD1
CSE3009,No SQL Databases,D2+TD2
CSE3009,No SQL Databases,E1+TE1
CSE3009,No SQL Databases,E2+TE2
CSE3011,Network Programming,F1+TF1
CSE3011,Network Programming,C2+TC2
CSE3011,Network Programming,G1+TG1
CSE3012,Network Security,D1+TD1
CSE3012,Network Security,D2+TD2
CSE3015,Natural Language Processing,F2+TFF2
CSE3015,Natural Language Processing,G1+TG1
CSE3015,Natural Language Processing,G2+TG2
CSE3015,Natural Language Processing,D1+TD1
CSE3015,Natural Language Processing,E1+TEE1
CSE3015,Natural Language Processing,E2+TEE2
CSE3015,Natural Language Processing,C1+TC1
CSE3015,Natural Language Processing,C2+TC2
CSE3015,Natural Language Processing,D1+TD1
CSE3015,Natural Language Processing,D2+TD2
CSE3015,Natural Language Processing,G1+TG1
CSE3015,Natural Language Processing,F1+TF1
CSE3015,Natural Language Processing,F2+TF2
CSE3015,Natural Language Processing,F1+TFF1
CSE3015,Natural Language Processing,G2+TG2
CSE3016,Cloud Computing and Security,F1+TF1
CSE3017,Cloud Big Data Analytics,D2+TD2
CSE3018,Software Configuration Management,B2+TB2
CSE3018,Software Configuration Management,C1+TC1
CSE3033,Software Verification and Validation,E1+TE1
CSE4001,Cloud Computing,D1+TD1
CSE4001,Cloud Computing,D2+TD2
CSE4001,Cloud Computing,E1+TE1
CSE4001,Cloud Computing,E2+TE2
CSE4005,Data Warehousing and Data Mining,D1+TD1
CSE4005,Data Warehousing and Data Mining,D2+TD2
CSE4005,Data Warehousing and Data Mining,E1+TE1
CSE4005,Data Warehousing and Data Mining,E2+TE2
CSE4008,Social Network Analysis,F2+TF2
CSE4008,Social Network Analysis,G1+TG1
CSE4008,Social Network Analysis,C2+TC2
CSE4008,Social Network Analysis,E2+TEE2
CSE4008,Social Network Analysis,F1+TF1
CSE4016,Database Administration,F2+TFF2
CSE4016,Database Administration,F1+TF1
CSE4016,Database Administration,E2+TEE2
CSE4019,Applications of Artificial Intelligence,E2+TE2
CSE4019,Applications of Artificial Intelligence,F1+TF1
CSE4019,Applications of Artificial Intelligence,G1+TG1
CSE4019,Applications of Artificial Intelligence,F2+TFF2
CSE4019,Applications of Artificial Intelligence,E2+TEE2
CSE4031,Web Application Security,E1+TEE1
CSE4031,Web Application Security,E2+TEE2
CSE4037,Reinforcement Learning,C1+TC1
CSE4037,Reinforcement Learning,C2+TC2
CSE4037,Reinforcement Learning,D1+TD1
CSE4037,Reinforcement Learning,D2+TD2
CSE4037,Reinforcement Learning,E1+TE1
CSE4037,Reinforcement Learning,E2+TEE2
CSE4037,Reinforcement Learning,F1+TF1
CSE4037,Reinforcement Learning,F2+TFF2
CSE4037,Reinforcement Learning,D1+TD1
CSE4040,Mining Massive Data Sets,D2+TD2
